ID,SENTENCE,FOS CODE,SL. No. Figure of Speech Class Label
MMD3274,"কি ভাবে ভাবিনী যদি বুঝিতে, স্বজনি, পিঞ্জর ভাঙিয়া ওরে ছাড়িতে অমনি!",,
MMD3275,"নিজে যে দুঃখিনী, পরোদুঃখ বুঝে সেই রে, কহিনু তোমারে;— অজি ও পাখীর মনঃ বুঝি আমি বিলক্ষণ— আমিও বন্দী লো আজি ব্রজ-কারাগারে!",,
MMD3276,"সারিকা অধীর ভাবি কুসুম-কানন, রাধিকা অধীর ভাবি রাধা-বিনোদন!",,
MMD3277,বনবিহারিণী ধনী বসন্তের সখী রে— শুকের সুখিনী!,,
MMD3278,"বলে ছলে ধরে তারে, বাঁধিয়াছ কারাগারে— কেমনে ধৈরজ ধরি রবে সে কামিনী?",,
MMD3279,"সারিকার দশা, সখি, ভাবিয়া অন্তরে, রাধিকারে বেঁধোনা লো সংসার-পিঞ্জরে!",,
MMD3280,ছাড়ি দেহ বিহগীরে মোর অনুরোধে রে— হইয়া সদয়।,,
MMD3281,ছাড়ি দেহ যাক্ চলি হাসে যথা বনস্থলী— শুকে দেখি সুখে ওর্ জুড়াবে হৃদয়!,,
MMD3282,"সারিকার ব্যথা সারি, ওলো দয়াবতি, রাধিকার বেড়ি ভাঙ—এ মম মিনতি।",,
MMD3283,"এছার সংসার আজি আঁধার, স্বজনি রে— রাধার নয়নে!",,
MMD3284,কেনে তবে মিছে তারে রাখ তুমি এ আঁধারে— সফরী কি ধরে প্রাণ বারির বিহনে?,,
MMD3285,"দেহ ছাড়ি, যাই চলি যথা বনমালী; লাগুক্ কুলের মুখে কলঙ্কের কালী!",,
MMD3286,"ভাল যে বাসে, স্বজনি, কি কাজ তাহার রে কুলমান ধনে?",,
MMD3287,শ্যামপ্রেমে উদাসিনী রাধিকা শ্যাম-অধীনী— কি কাজ তাহার আজি রত্ন আভরণে?,,
MMD3288,"মধু কহে কুলে ভুলি কর লো গমন— শ্রীমধুসুদন, ধনি রসের সদন!",,
MMD3289,"নমি আমি, শৈলরাজ, তােমার চরণে— রাধা এ দাসীর নাম—গােকুল গােপিনী; কেনে যে এসেছি আমি তােমার সদনে— শরমে মরমকথা কহিব কেমনে, আমি, দেব, কুলের কামিনী!",,
MMD3290,"কিন্তু দিবা অবসানে, হেরি তারে কে না জানে, নলিনী মলিনী ধনী কাহার বিহনে— কাহার বিরহানল তাপে তাপিত সে সরঃ সুশােভিনী?",,
MMD3291,"হে গিরি, যে বংশীধর ব্রজ-দিবাকর, ত্যজি আজি ব্রজধাম গিয়াছেন তিনি।",,
MMD3292,"নলিনী নহে গাে দাসী রূপে, শৈলেশ্বর, তবুও নলিনী যথা ভজে প্রভাকর, ভজে শ্যামে রাধা অভাগিনী!",,
MMD3293,"হারায়ে এ হেন ধনে, অধীর হইয়া মনে, এসেছি তব চরণে কাঁদিতে,ভূধর, কোথা মম শ্যাম গুণমণি?",,
MMD3294,মণিহারা আমি গো ফণিনী!,,
MMD3295,"রাজা তুমি; বনরাজী ব্রততী ভূষিত, শোভে কিরীটের রূপে তব শিরােপরে; কুসুম রতনে তব বসন খচিত; সুমন্দ প্রবাহ—যেন রজতে রজিত— তােমার উত্তরী রূপ ধরে; করে তব তরুবলী, রাজদণ্ড, মহাবলি, দেহ তব ফুলরজে সদা ধূষরিত;— অসীম মহিমাধর তুমি, কেনা তােমা পূজে চরাচরে?",,
MMD3296,"বরাঙ্গনা কুরঙ্গিনী তােমার কিঙ্করী; বিহঙ্গিনী দল তব মধুর গায়িনী; যত বননারী তােমা সেবে, হে শিখরি, সতত তােমাতে রত বসুধা সুন্দরী— তব প্রেমে বাঁধা গাে মেদিনী!",,
MMD3297,"দিবা ভাগে দিবাকর তব, দেব, ছত্রধর, নিশাভাগে দাসী তব সুতারা শর্ব্বরী!",,
MMD3298,"তােমার আশ্রয় চায় আজি রাধা, শ্যাম প্রেম ভিখারিণী!",,
MMD3299,"যবে দেব কুলপতি রুষি, মহীধর, বরষিলা ব্রজধামে প্রলয়ের বারি,— যবে শত শত ভীম মূর্ত্তি মেঘবর গরজি গ্রাসিলা আসি দেব দিবাকর, বারণে যেমনি বারণারি,— ছত্র সম তােমা ধরি রাখিলা যে ব্রজে হরি, সে ব্রজ কি ভুলিলা গো আজি ব্রজেশ্বর?",,
MMD3300,রাধার নয়ন জলে এবে ডােবে ব্রজ!,,
MMD3301,কোথা বংশীধারী?,,
MMD3302,"হে ধীর, শরম হীন ভেবাে না রাধারে— অসহ যাতনা দেব, সহিব কেমনে?",,
MMD3303,"ডুবি আমি কুলবালা অকূল পাথারে, কি করে নীরবে রবো শিখাও আমারে— এ মিনতি তোমার চরণে।",,
MMD3304,"কুলবতী যে রমণী, লজ্জা তার শিরোমণি— কিন্তু এবে এ মনঃ কি বুঝিতে তা পারে!",,
MMD3305,"মধু কহে লাজে হানি বাজ, ভজ, বামা, শ্রীমধুসূদনে!",,
MMD3306,কোথারে রাখাল চূড়ামণি?,,
MMD3307,"গােকুলের গাভীকুল, দেখ, সখি, শােকাকুল, না শুনে সে মুরলীর ধ্বনি!",,
MMD3308,"ধীরে ধীরে গােষ্ঠে সবে পশিছে নীরব,— আইল গােধূলি, কোথা রহিল মাধব!",,
MMD3309,আইল লাে তিমির যামিনী; তরু ডালে চক্রবাকী বসিয়া কাঁদে একাকী— কাঁদে যথা রাধা বিরহিণী!,,
MMD3310,কিন্তু নিশা অবসানে হাসিবে সুন্দরী; আর কি পােহাবে কভু মাের বিভাবরী?,,
MMD3311,"ওই দেখ উদিছে গগণে— জগত-জন-রঞ্জন—সুধাংশু রজনীধন, প্রমদা কুমুদী হাসে প্রফুল্লিত মনে; কলঙ্কী শশাঙ্ক, সখি, তােষে লাে নয়ন— ব্রজ নিষ্কলঙ্ক শশী চুরি করে মন।",,
MMD3312,"হে শিশির, নিশার আসার!",,
MMD3313,"তিতিও না ফুলদলে ব্রজে আজি তব জলে, বৃথা ব্যয় উচিত গো হয়না তোমার; রাধার নয়ন-বারি ঝরি অবিরল ভিজাইবে আজি ব্রজে—যত ফুল দল!",,
MMD3314,"চন্দনে চর্চ্চিয়া কলেবর, পরি নানা ফুল সাজ, লাজের মাথায় বাজ; মজায় কামিনী এবে রসিক নাগর; তুমি বিনা, হে বিরহ, বিকট মুরতি, কারে আজি ব্রজাঙ্গনা দিবে প্রেমারতি?",,
MMD3315,"হে মন্দ মলয় সমীরণ, সৌরভ ব্যাপারী তুমি, ত্যজ অজি ব্রজ ভূমি— অগ্নি যথা জ্বলে তথা কি করে চন্দন?",,
MMD3316,"যাও হে, মোদিত কুবলয় পরিমলে, জুড়াও সুরতক্লান্ত সীমন্তিনী দলে!",,
MMD3317,"যাও চলি, বায়ু কুলপতি, কোকিলার পঞ্চস্বর বহ তুমি নিরন্তর— ব্রজে আজি কাঁদে যত ব্রজের যুবতী!",,
MMD3318,"মধু ভণে, ব্রজাঙ্গনে, করােনা রােদন, পাবে বঁধু—অঙ্গীকারে শ্রীমধুসূদন!",,
MMD3319,"কেও বাজাইছে বাঁশী, স্বজনি, মৃদু মৃদু স্বরে নিকুঞ্জ বনে?",,
MMD3320,নিবার উহারে; শুনি ও ধ্বনি দ্বিগুণ আগুন জ্বলে লাে মনে!,,
MMD3321,এ আগুনে কেনে আহুতি দান?,,
MMD3322,অমনি নারে কি জ্বালাতে প্রাণ?,,
MMD3323,বসন্ত অন্তে কি কোকিলা গায় পল্লববসনাশাখাসদনে?,,
MMD3324,নীরবে নিবিড় নীড়ে সে যায়— বাঁশী ধ্বনি আজি নিকুঞ্জ বনে?,,
MMD3325,"হায়, ও কি আর গীত গাইছে?",,
MMD3326,না হেরি শ্যামে ও বাঁশী কাঁদিছে?,,
MMD3327,"শুনিয়াছি, সই, ইন্দ্র রুষিয়া গিরিকুল পাখা কাটিলা যবে, সাগরে অনেক নগ পশিয়া রহিল ডুবিয়া—জলধিভবে।",,
MMD3328,সে শৈল সকল শির্ উচ্চ করি নাশে এবে সিন্ধুগামিনী তরী।,,
MMD3329,কে জানে কেমনে প্রেমসাগরে বিচ্ছেদ পাহাড় পশিল আসি?,,
MMD3330,কার প্রেমতরী নাশ না করে— ব্যাধ যেন পাখী পাতিয়া ফাঁশি— কার প্রেমতরী মগনে না জলে বিচ্ছেদ পাহাড়—বলে কি ছলে!,,
MMD3331,"হায় লো সখি, কি হবে স্মরিলে গত সুখ?",,
MMD3332,তারে পাব কি আর?,,
MMD3333,বাসি ফুলে কি লো সৌরভ মিলে?,,
MMD3334,ভুলিলে ভাল যা—স্মরণ তার?,,
MMD3335,"মধুরাজে ভেবে নিদাঘ জ্বালা, কহে মধু, সই, ব্রজের বালা!",,
MMD3336,শুনেছি মলয় গিরি তােমার আলয়— মলয় পবন!,,
MMD3337,"বিহঙ্গিনীগণ তথা গাহে বিদ্যাধরী যথা সঙ্গীত সুধায় পূরে নন্দন কানন; কুসুমকুলকামিনী, কোমলা কমলা জিনি, সেবে তােমা, বৃতি যথা সেবেন মদন!",,
MMD3338,"হায়, কেনে ব্রজে আজি ভ্রমিছ হে তুমি— মন্দ সমীরণ?",,
MMD3339,"যাও সরসীর কোলে, দোলাও মৃদু হিল্লোলে সুপ্রফুল্ল নলিনীরে—প্রেমানন্দ মন!",,
MMD3340,"ব্রজ-প্রভাকর যিনি, ব্রজ আজি ত্যজি তিনি, বিরাজেন অস্তাচলে—নন্দের নন্দন!",,
MMD3341,সৌরভ রতন দানে তুষিবে তােমারে আদরে নলিনী; তব তুল্য উপহার কি অজি আছে রাধার?,,
MMD3342,"নয়ন আসারে, দেব, ভাসে সে দুঃখিনী!",,
MMD3343,"যাও যথা পিকবধূ—বরিষে সঙ্গীত মধু,— এ নিকুঞ্জে কাঁদে আজি রাধা বিরহিণী!",,
MMD3344,"তবে যদি, সুভগ, এ অভাগীর দুঃখে দুঃখী তুমি মনে, যাও আশু, আশুগতি, যথা ব্রজকুলপতি— যাও যথা পাবে, দেব, ব্রজের রতনে!",,
MMD3345,রাধার রোদন ধ্বনি বহ যথা শ্যামমণি— কহ তারে মরে রাধা শ্যামের বিহনে!,,
MMD3346,"যাও চলি, মহাবলি, যথা বনমালী— রাধিকা-বাসন; তুঙ্গ শৃঙ্গ দুষ্টমতি, রােধে যদি তব গতি, মোর অনুরােধে তারে ভেঙো প্রভঞ্জন, তরুরাজ যুদ্ধ আশে, তােমারে যদি সম্ভাষে— বজ্রাঘাতে যেও তার করিয়া দলন!",,
MMD3347,"দেখি তােমা পীরিতের ফাঁদ পাতে যদি নদী রূপবতী; মজোনা বিভ্রমে তার, তুমিহে দূত রাধার, হেরো না, হেরো না দেব কুসুম যুবতী!",,
MMD3348,"কিনিতে তোমার মন, দেবে সে সৌরভ ধন, অবহেলি সে ছলনা, যেয়ে আশুগতি!",,
MMD3349,"শিশিরের নীরে ভাবি অশ্রুবারিধারা, ভুলো না, পবন!",,
MMD3350,"কোকিলা শাখা উপরে, ডাকে যদি পঞ্চস্বরে, মোর কিরে শীঘ্র করে ছেড়ে সে কানন!",,
MMD3351,"স্মরি রাধিকার দুঃখ, হইও সুখে বিমুখ— মহৎ যে পরদুঃখে দুঃখী সে সুজন!",,
MMD3352,"উতরিবে যবে যথা রাধিকারমণ, মোর দূত হয়ে, কহিও গোকুল কাঁদে হারাইয়া শ্যাম চাঁদে— রাধার রোদন ধ্বনি দিও তাঁরে লয়ে; আর কথা আমি নারী শরমে কহিতে নারি,— মধু কহে, ব্রঙ্গাঙ্গনে, আমি দিব কয়ে।",,
MMD3353,"কেনে এত ফুল তুলিলি, স্বজনি— ভরিয়া ডালা?",,
MMD3354,"মেঘাবৃত হলে, পরে কি রজনী তারার মালা?",,
MMD3355,"আর কি যতনে, কুসুম রতনে ব্রজের বালা?",,
MMD3356,আর কি পরিবে কভু ফুলহার ব্রজকামিনী?,,
MMD3357,কেনে লাে হরিলি ভূষণ লতার— বনশােভিনী?,,
MMD3358,অলি বঁধু তার; কে আছে রাধার— হতভাগিনী?,,
MMD3359,"হায় লাে দোলাবি, সখি, কার গলে মালা গাঁথিয়া?",,
MMD3360,আর কি নাচে লাে তমালের তলে বনমালিয়া?,,
MMD3361,"প্রেমের পিঞ্জর, ভাঙি পিকবর,— গেছে উড়িয়া!",,
MMD3362,আর কি বাজে লো মনােহর বাঁশী নিকুঞ্জবনে?,,
MMD3363,"ব্রজ সুধানিধি শোভে কি লো হাসি, ব্রজগগনে?",,
MMD3364,"ব্রজ কুমুদিনী, এবে বিলাপিনী ব্রজভবনে!",,
MMD3365,"হায় রে যমুনে, কেনেনা ডুবিল তোমার জলে।",,
MMD3366,"অদয় অক্রূর, যবে সে আইল ব্রজমণ্ডলে?",,
MMD3367,"ক্রূর দূত হেন, বধিলে না কেন বলে কি ছলে?",,
MMD3368,হরিল অধম মম প্রাণ হরি ব্রজরতন!,,
MMD3369,"ব্রজবনমধু নিল ব্রজ-অরি, দলি ব্রজবন!",,
MMD3370,"কবি মধু ভণে, পাবে, ব্রজাঙ্গনে, মধুসূদন!",,
MMD3371,"কনক উদয়াচলে তুমি দেখা দিলে, হে সুর-সুন্দরি!",,
MMD3372,"কুমুদ মুদয়ে আঁখি, কিন্তু সুখে গায় পাখী, গুঞ্জরি নিকুঞ্জে ভ্রমে ভ্রমর ভ্রমরী; বরসরোজিনী ধনী, তুমিহে তার স্বজনী, নিত্য তার প্রাণনাথে আন সাথে করি।",,
MMD3373,তুমি দেখাইলে পথ যায় চক্রবাকী যথা প্রাণপতি!,,
MMD3374,"ব্রজাঙ্গনে দয়া করি, লয়ে চল যথা হরি, পথ দেখাইয়া তারে দেহ শীঘগতি!",,
MMD3375,"কঁদিয়া কাঁদিয়া আঁধা, আজি গগ শ্যামের রাধা, ঘুচাও আঁধার তার, হৈমবতি সতি!",,
MMD3376,"হায়, উষা, নিশাকালে আশার স্বপনে ছিলাম ভুলিয়া, ভেবেছিনু তুমি, ধনি, নাশিবে ব্রজ রজনী, ব্রজের সরোজরবি ব্রজে প্রকাশিয়া!",,
MMD3377,"ভেবেছিনু কুঞ্জবনে পাইব পরাণ বনে, হেরিব কদমূলে রাধা বিনোদিয়া!",,
MMD3378,"মুকুতা কুণ্ডলে তুমি সাজাও, ললনে, কুসুমকামিনী; আন মন্দ সমীরণে বিহারিতে তার সনে, রাধা বিনোদনে কেন আননা, রঙ্গিণি?",,
MMD3379,"রাধার ভূষণ যিনি, কোথায় আজি গো তিনি?",,
MMD3380,সাজাও আনিয়া তাঁরে রাধা বিরহিণী!,,
MMD3381,"ভালে তব জ্বলে, দেবি, আভাময় মণি— বিমল কিরণ; ফণনী নিজ কুন্তলে পরে মণি কুতূহলে— কিন্তু মণি-কুলরাজা ব্রজের রতন!",,
MMD3382,"মধু কহে, ব্রজাঙ্গনে, এই লাগে মোর মনে— ভূতলে অতুল মণি শ্রীমধুসূদন!",,
MMD3383,"কে তুমি, শ্যামেরে ডাক রাধা যথা ডাকে— হাহাকার রবে?",,
MMD3384,"কে তুমি, কোন্ যুবতী, ডাক এ বিরলে সতি, অনাথা রাধিকা যথা ডাকে গো মাধবে?",,
MMD3385,অভয় হৃদয়ে তুমি কহ আসি মোরে— কে না বাঁধা এ জগতে শ্যাম-প্রেম-ডোরে।,,
MMD3386,"কুমুদিনী কায়, মনঃ সঁপে শশধরে— ভুবন মোহন!",,
MMD3387,"চকোরী শশীর পাশে, আসে সদা সুধা আশে, নিশি হাসি বিহারয়ে লয়ে সে রতন; এ সকলে দেখিয়া কি কোপে কুমুদিনী?",,
MMD3388,"স্বজনী উভয় তার—চকোরী, যামিনী!",,
MMD3389,বুঝিলাম এতক্ষণে কে তুমি ডাকিছ— আকাশ নন্দিনি!,,
MMD3390,"পর্ব্বত গহন বনে, বাস তব, বরাননে, সদা রঙ্গ রসে তুমি রত, হে রঙ্গিণি!",,
MMD3391,"নিরাকারা ভারতি, কে না জানে তোমারে?",,
MMD3392,এসেছ কি কাঁদিতে গো লইয়া রাধারে?,,
MMD3393,"জানি আমি, হে স্বজনি, ভাল বাস তুমি, মোর শ্যাম ধনে!",,
MMD3394,"শুনি মুরারির বাঁশী, গাইতে তুমি গো আসি, শিখিয়া শ্যামের গীত, মঞ্জু কুঞ্জ বনে!",,
MMD3395,"রাধা রাধা বলি যবে ডাকিতেন হরি— রাধা রাধা বলি তমি ডাকিতে, সুন্দরি!",,
MMD3396,"যে ব্রজে শুনিতে আগে সঙ্গীতের ধ্বনি, আকাশসম্ভবে, ভূতলে নন্দনবন, অছিল যে বৃন্দাবন, সে ব্রজ পূরিছে আজি হাহাকার রবে!",,
MMD3397,"কত যে কাঁদে রাধিকা কি কব, স্বজনি, চক্রবাকী সে—এ তার বিরহ রজনী!",,
MMD3398,"এস, সখি, তুমি আমি ডাকি দুই জনে রাধা বিনোদন; যদি এ দাসীর রব, কুরব ভেবে মাধব না শুনেন, শুনিবেন তোমার বচন!",,
MMD3399,কত শত বিহঙ্গিনী ডাকে ঋতুবরে— কোকিলা ডাকিলে তিনি আসেন সত্বরে!,,
MMD3400,"না উত্তরি মোরে, রামা, যাহা আমি বলি, তাই তুমি বল?",,
MMD3401,"জানি পরিহাসে রত, রঙ্গিণি, তুমি সতত, কিন্তু আজি উচিত কি তোমার এ ছল?",,
MMD3402,"মধু কহে, এই রীতি ধরে প্রতিধ্বনি,— কাঁদ, কাঁদে; হাস, হাসে, মাধবরমণি!",,
MMD3403,"হে বসুধে, জগত‍্জননি!",,
MMD3404,"দয়াবতী তুমি, সতি, বিদিত ভুবনে!",,
MMD3405,"যবে দশানন অরি, বিসর্জ্জিলা হুতাশনে জানকী সুন্দরী, তুমি গো রাখিলা বরাননে।",,
MMD3406,"তুমি, ধনি, দ্বিধা হয়ে, বৈদিহিরে কোলে লয়ে, জুড়ালে তাহার জ্বালা বাসুকিরমণি!",,
MMD3407,"হে বসুধে, রাধা বিরহিণী!",,
MMD3408,তার প্রতি আজি তুমি বাম কি কারণে?,,
MMD3409,"শ্যামের বিরহানলে, সুভগে, অভাগা জ্বলে, তারে যে করনা তুমি মনে?",,
MMD3410,"পুড়িছে অবলা বালা, কে সম্বরে তার জ্বালা, হায়, একি রীতি তব, হে ঋতুকামিনি!",,
MMD3411,"শমীর হৃদয়ে অগ্নি জ্বলে— কিন্তু সে কি বিরহ অনল, বসুন্ধরে?",,
MMD3412,তা হলে বন-শোভিনী জীবন যৌবনতাপে হারাত তাপিনী— বিরহ দুরূহ দুহে হরে!,,
MMD3413,"পুড়ি আমি অভাগিনী, চেয়ে দেখনা মেদিনি, পুড়ে যথা বনস্থলী ঘোর দাবানলে!",,
MMD3414,"আপনি তো জান গো ধরণি, তুমি ও তো ভালবাস ঋতৃকুলপতি!",,
MMD3415,তার শুভ আগমনে হাসিয়া সাজহ তুমি নানা আভরণে— কামে পেলে সাজে যথা রতি!,,
MMD3416,অলকে ঝলকে কত ফুল রত্ন শত শত!,,
MMD3417,"তাহার বিরহ দুঃখ ভেবে দেখ, ধনি!",,
MMD3418,লোকে বলে রাধা কলঙ্কিনী!,,
MMD3419,"তুমি তারে ঘূণা কেনে কর, সীমন্তিনি?",,
MMD3420,"অনন্ত, জলধি নিধি— এই দুই বরেতোযমা দিয়াছেন বিধি, তবু তুমি মধুবিলাসিনী!",,
MMD3421,"শ্যাম মম প্রাণ স্বামী—শ্যামে হারায়েছি আমি, আমার দুঃখে কি তুমি হওনা দুঃখিনী?",,
MMD3422,"হে মহি, এ অবোধ পরাণ কেমনে করিব স্থির কহ গো আমারে?",,
MMD3423,বসন্তরাজ বিহনে কেমনে বাঁচ গো তুমি—কি ভাবিয়া মনে— শেখাও সে সব রাধিকারে!,,
MMD3424,"মধু কহে, হে সুন্দরি, থাক হে ধৈরয ধরি, কালে মধু বসুধারে করে মধুদান!",,
MMD3425,"তরুশাখা উপরে, শিখিনি, কেনে লো বসিয়া তুই বিরস বদনে?",,
MMD3426,"না হেরিয়া শ্যামচাঁদে, তোর ও কি পরাণ কাঁদে, তুই ও কি দুঃখিনী!",,
MMD3427,আহা!,,
MMD3428,কে না ভালবাসে রাধিকারমণে?,,
MMD3429,"কার না জুড়ায় আঁখি শশী, বিহঙ্গিনি?",,
MMD3430,"আয়, পাখি, আমরা দুজনে।",,
MMD3431,"গলা ধরাধরি করি ভাবি লো নীরবে; নবীন নীরদে প্রাণ, তুই করেছিস্ দান— সে কি তোর হবে?",,
MMD3432,আর কি পাইবে রাধা রাধিকারঞ্জনে?,,
MMD3433,"তুই ভাব্ ঘনে, ধনি, আমি শ্রীমাধবে!",,
MMD3434,"কি শোভা ধরয়ে জলধর, গভীর গরজি যবে উড়ে সে গগনে!",,
MMD3435,"স্বর্ণ বর্ণ শত্রু ধনু—রতনে খচিত তনু— চুড়া শিরোপর; বিজলী কনক দাম পরিয়া যতনে, মুকুলিত লতা যথা পরে তরুবর!",,
MMD3436,"কিন্তু ভেবে দেখ্ লো কামিনি, মম শ্যাম-রূপ অনুপম ত্রিভুবনে!",,
MMD3437,"হায়, ও রূপ-মাধুরী, কার মন নাহি চুরি, করে, রে শিখিনি!",,
MMD3438,"যার আঁথি দেখিয়াছে রাধিকামোহনে, সেই জানে কেনে রাধা কুলকলঙ্কিনী!",,
MMD3439,"তরুশাখা উপরে, শিখিনি, কেনে লো বসিয়া তুই বিরসবদনে?",,
MMD3440,"হেরিয়া শ্যামচাঁদে, তোরও কি পরাণ কাঁদে, তুই ও কি দুঃখিনী?",,
MMD3441,আহা!,,
MMD3442,কে না ভালবাসে শ্রীমধুসূদন?,,
MMD3443,"মধু কহে যা কহিলে, সত্য বিনোদিনি!",,
MMD3444,"মৃদু কলরবে তুমি, ওহে শৈবলিনি, কি কহিছ ভাল করে কহনা আমারে।",,
MMD3445,"সাগর-বিরহে যদি, প্রাণ তব কাঁদে, নদি, তোমার মনের কথা কহ রাধিকারে— তুমি কি জান না, ধনি, সেও বিরহিণী?",,
MMD3446,"তপন-তনয়া তুমি; তেঁই কাদম্বিনী পালে তোমা শৈলনাথ কাঞ্চন ভবনে; জন্ম তব রাজ কুলে, (সৌরভ জনমে ফুলে) রাধিকারে লজ্জা তুমি কর কি কারণে?",,
MMD3447,তুমি কি জান না সেও রাজার নন্দিনী?,,
MMD3448,"এস, সখি, তুমি আমি বসি এ বিরলে!",,
MMD3449,"দুজনের মনোজ্বালা জুড়াই দুজনে; তব কূলে, কল্লোলিনি, ভ্রমি আমি একাকিনী, অনাথা অতিথি আমি তোমার সদনে— তিতিছে বসন মোর নয়নের জলে!",,
MMD3450,"ফেলিয়া দিয়াছি আমি যত অলঙ্কার— রতন, মুকুতা, হীরা, সব আভরণ!",,
MMD3451,"ছিঁড়িয়াছি ফুল-মালা জুড়াতে মনের জ্বালা, চন্দন চর্চ্চত দেহে ভস্মের লেপন!",,
MMD3452,আর কি এ সবে সাধ আছে গো রাধার?,,
MMD3453,"তবে যে সিন্দূর বিন্দু দেখিছ ললাটে, সধবা বলিয়া আমি দেখেছি ইহারে!",,
MMD3454,"কিন্তু অগ্নিশিখা সম, হে সখি, সীমন্তে মম জ্বলিছে এ রেখা আজি—কহিনু তোমারে— গোপিলে এ সব কথা প্রাণ যেন ফাটে!",,
MMD3455,"বসো আসি, শশিমুখি, আমার আঁচলে, কমল আসনে যথা কমলবাসিনী!",,
MMD3456,"ধরিয়া তোমার গলা কাঁদি লো আমি অবলা, ক্ষণেক ভুলি এ জ্বালা, ওহে প্রবাহিনি!",,
MMD3457,এস গো বসি দুজনে এ বিজন স্থলে!,,
MMD3458,কি আশ্চর্য্য!,,
MMD3459,"এত করে করিনু মিনতি, তবু কি আমার কথা শুনিলে না, ধনি?",,
MMD3460,"এ সকল দেখে শুনে, রাধার কপাল-গুণে, তুমিও কি ঘৃণিলা গো রাধায়, স্বজনি?",,
MMD3461,"এই কি উচিত তব, ওহে স্রোতস্বতি?",,
MMD3462,"হায়রে তোমারে কেন দোষি, ভাগ্যবতি?",,
MMD3463,ভিখারিণী রাধা এবে—তুমি রাজরাণী।,,
MMD3464,"হরপ্রিয়া মন্দাকিনী, সুভগে, তব সঙ্গিনী, অর্পেণ সাগর-করে তিনি তব পানি!",,
MMD3465,সাগর-বাসরে তব তাঁর সহ গতি!,,
MMD3466,"মৃদু হাসি নিশি আসি দেখা দেয় যবে, মনোহর সাজে তুমি সাজ লো কামিনি।",,
MMD3467,"তারাময় হার পরি, শশধরে শিরে ধরি, কুসুম দাম কবরী, তুমি বিনোদিনি, দ্রুতগতি পতি পাশে যাও কলরবে।",,
MMD3468,হায় রে এ ব্রজে আজি কে আছে রাধার?,,
MMD3469,কে জানে এ ব্রজজনে রাধার যাতন?,,
MMD3470,"দিবা অবসান হলে, রবি গেলে অস্তাচলে, যদিও ঘোর তিমিরে ডোবে ত্রিভুবন, নলিনী যেমনি জ্বলে—এত জ্বালা কার?",,
MMD3471,"উচ্চ তুমি নীচ এবে আমি হে যুবতি, কিন্তু পর দুঃখে দুঃখী না হয় যে জন, বিফল জনম তার, অবশ্য সে দুরাচার।",,
MMD3472,"মধু কহে মিছে ধনি করিছ রোদন, কাহার হৃদয়ে দয়া করেন বসতি।",,
MMD3473,"চেয়ে দেখ, প্রিয়সখি, কি শোভা গগনে!",,
MMD3474,"দুগন্ধ-বহ-বাহন, সৌদামিনী সহ ঘন ভ্রমিতেছে মন্দগতি প্রেমানন্দ মনে!",,
MMD3475,"ইন্দ্রচাপ রূপ ধরি, মেঘরাজ ধ্বজোপরি, শোভিতেছে কামকেতু—খচিত রতনে লাজে বুঝি গ্রহরাজ মুদিছে নয়ন!",,
MMD3476,"মদন উৎসবে এবে, মাতি ঘনপতি সেবে রতিপতি সহ রতি ভুবনমোহন!",,
MMD3477,"চপলা চঞ্চলা হয়ে, হাসি প্রাণনাথে লয়ে তুষিছে তাহায় দিয়ে ঘন আলিঙ্গন!",,
MMD3478,"নাচিছে শিখিনী সুখে কেকা রব করি, হেরি ব্রজকুঞ্জ বনে, রাধা রাধাপ্রাণধনে, নাচিত যেমতি যত গোকুল সুন্দরী!",,
MMD3479,উড়িতেছে চাতকিনী শূন্যপথে বিহারিণী জয়ধ্বনি করি ধনী—জলদ কিঙ্করী!,,
MMD3480,হায়রে কোথায় আজি শ্যাম জলধর।,,
MMD3481,"তব প্রিয় সৌদামিনী, কাঁদে নাথ একাকিনী রাধারে ভুলিলে কি হে রাধামনোহর?",,
MMD3482,"রত্নচুড়া শিরে পরি, এস বিশ্ব আলো করি, কনক উদয়াচলে যথা দিনকর!",,
MMD3483,"তব অপরূপ রূপ হেরি, গুণমণি, অভিমানে ঘনেশ্বর যাবে কাঁদি দেশান্তর, আখণ্ডল ধনু লাজে পালাবে অমনি; দিনমণি পুনঃ আসি উদিবে আকাশে হাসি; রাধিকার সুখে সুখী হইবে ধরণী; নাচিবে গোকুল নারী, যথা কমলিনী।",,
MMD3484,"নাচে মলয়-হিল্লোলে সরসী-রূপসী-কোলে, রুণু রুণু মধু বোলে বাজায়ে কিঙ্কিণী!",,
MMD3485,বসাইও ফুলাসনে এ দাসীরে তব সনে তুমি নব জলধর এ তব অধিনী!,,
MMD3486,অরে আশা আর কিরে হবি ফলবতী?,,
MMD3487,আর কি পাইব তারে সদা প্রাণ চাহে যারে পতি-হারা রতি কিলো পাবে রতি-পতি?,,
MMD3488,"মধু কহে হে কামিনি, আশা মহা মায়াবিনী!",,
MMD3489,মরীচিকা কার তৃষা কবে তোষে সতি?,,
SR1,"হাঁস ছিল, সজারু, (ব্যাকরণ মানি না), হয়ে গেলে 'হাঁসজারু' কেমনে তা জানি না।",6,
SR2,বক কহে কচ্ছপে-বাহবা কি ফুর্তি!,3,
SR3,অতি খাসা আমাদের বকচ্ছপ মূর্তি।”,3,
